model_output,ground_truth,top_20_tokens,top_20_probs,match
Triangle<|im_end|>,triangle,"['Triangle', 'Triangles', 'Tri', 'Square', 'Rect', 'S', 'Rectangle', 'rectangle', 'triangle', 'tri', 'rect', 'Tr', 'Hex', 'T', 'Slice', 's', 'Diamond', 'Strip', 'D', 'C']","tensor([4.9334e-01, 2.3304e-01, 9.7143e-02, 5.1997e-02, 3.5737e-02, 3.1538e-02,
        1.4897e-02, 7.0370e-03, 7.0370e-03, 6.6107e-03, 4.8365e-03, 2.9335e-03,
        1.1488e-03, 1.0792e-03, 9.5236e-04, 6.9676e-04, 6.1489e-04, 6.1489e-04,
        2.7286e-04, 2.2621e-04])",False
Triangle<|im_end|>,square,"['Triangle', 'triangle', 'Tri', 'tri', 'Square', 'star', 'Diamond', 'Star', 'rectangle', 'tr', 'C', 'Tr', 'T', 'cone', 'Paper', 'Rectangle', 'Heart', 'Hex', 'Fold', 'square']","tensor([0.4879, 0.3800, 0.0243, 0.0167, 0.0147, 0.0074, 0.0048, 0.0048, 0.0033,
        0.0033, 0.0029, 0.0024, 0.0021, 0.0018, 0.0018, 0.0016, 0.0015, 0.0012,
        0.0009, 0.0009])",False
triangle<|im_end|>,square,"['triangle', 'rectangle', 'Triangle', 'Rectangle', 'square', 'Square', 'rect', 'Rect', 'tri', 'Diamond', 'hex', 'Tri', 'tr', 'oct', 'diamond', 'Hex', 'rh', 'oval', 'T', ' Square']","tensor([0.2771, 0.2158, 0.1483, 0.1309, 0.0900, 0.0794, 0.0177, 0.0095, 0.0058,
        0.0054, 0.0026, 0.0020, 0.0015, 0.0015, 0.0008, 0.0006, 0.0006, 0.0005,
        0.0004, 0.0004])",False
Triangle<|im_end|>,triangle,"['Triangle', 'triangle', 'Tri', 'tri', 'Diamond', '_triangle', ' triangle', ' Triangle', 'Delta', 'Equ', 'tr', 'Triangles', 'Arrow', 'riangle', 'arrow', 'equ', 'T', 'Tr', 'Tra', 'Δ']","tensor([6.7815e-01, 3.2034e-01, 5.4573e-04, 2.2750e-04, 1.5636e-04, 1.5636e-04,
        6.5179e-05, 4.4797e-05, 4.4797e-05, 3.0788e-05, 1.2834e-05, 9.9955e-06,
        9.9955e-06, 9.3899e-06, 9.3899e-06, 9.3899e-06, 8.8210e-06, 8.2865e-06,
        8.2865e-06, 8.2865e-06])",False
Square<|im_end|>,square,"['Square', 'Py', 'Triangle', 'Point', 'Tri', 'square', 'C', 'py', 'Rect', 'T', 'Hex', 'triangle', 'Rectangle', 'Oct', 'Con', 'Diamond', 'rect', 'Dom', 'Cube', 'D']","tensor([0.5207, 0.1690, 0.0549, 0.0427, 0.0259, 0.0229, 0.0229, 0.0157, 0.0139,
        0.0139, 0.0066, 0.0058, 0.0054, 0.0048, 0.0042, 0.0040, 0.0040, 0.0040,
        0.0035, 0.0024])",False
Spire<|im_end|>,triangle,"['Sp', 'sp', 'Point', 'T', 'point', 'Triangle', 'Tri', 'St', 'Py', 'Tower', 'py', 'st', 'S', 't', 'Con', 'P', 'C', 'triangle', 'con', 'tri']","tensor([0.3410, 0.2068, 0.1825, 0.0761, 0.0407, 0.0247, 0.0247, 0.0218, 0.0132,
        0.0085, 0.0080, 0.0075, 0.0062, 0.0043, 0.0020, 0.0019, 0.0018, 0.0016,
        0.0014, 0.0013])",False
Star<|im_end|>,star,"['Star', 'star', 'Stars', 'P', ' Star', 'STAR', 'Five', 'pent', '_star', 'Start', 'Triangle', 'Hex', '-Star', 'Six', 'start', 'S', 'Snow', 'C', 'St', ' star']","tensor([9.5208e-01, 4.7401e-02, 7.1265e-05, 6.2891e-05, 5.5501e-05, 4.6012e-05,
        4.0605e-05, 2.3136e-05, 1.5901e-05, 1.4938e-05, 1.0929e-05, 9.6447e-06,
        9.6447e-06, 8.5114e-06, 7.9957e-06, 5.4954e-06, 5.1624e-06, 4.2798e-06,
        4.2798e-06, 4.2798e-06])",False
Diamond.<|im_end|>,pentagon,"['Diamond', 'Oct', 'P', 'Hex', 'Triangle', 'hex', 'oct', 'diamond', 'D', 'Square', 'Rectangle', 'Ir', 'O', 'triangle', 'pent', ' Diamond', 'Tri', 'rectangle', 'Rh', 'Polygon']","tensor([0.5627, 0.0863, 0.0762, 0.0593, 0.0523, 0.0280, 0.0218, 0.0193, 0.0075,
        0.0063, 0.0055, 0.0052, 0.0049, 0.0046, 0.0036, 0.0031, 0.0023, 0.0022,
        0.0020, 0.0018])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'Circle', 'O', 'round', 'oval', 'circle', 'Square', 'C', 'Plate', 'R', '圆形', ' Round', 'ob', 'ROUND', 'White', ' Oval', '(round', '圓', 'Disk']","tensor([7.4269e-01, 6.9081e-02, 6.0964e-02, 4.1900e-02, 3.6976e-02, 2.2427e-02,
        1.5414e-02, 2.6786e-03, 2.3638e-03, 2.3405e-04, 2.1987e-04, 1.9403e-04,
        1.7123e-04, 1.7123e-04, 1.7123e-04, 1.7123e-04, 1.6086e-04, 1.5111e-04,
        1.5111e-04, 1.3336e-04])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'Circle', 'O', 'Square', 'oval', 'round', 'C', 'circle', 'Rectangle', 'Ir', 'R', ' Round', 'Triangle', 'ROUND', ' Circle', 'Hex', '圆形', 'ircular', 'Oct']","tensor([7.1834e-01, 1.1016e-01, 7.5713e-02, 2.4580e-02, 1.6894e-02, 1.6894e-02,
        1.6894e-02, 7.0424e-03, 4.2714e-03, 9.5308e-04, 5.4305e-04, 4.2293e-04,
        3.7323e-04, 3.2938e-04, 3.2938e-04, 2.7306e-04, 2.4098e-04, 2.2638e-04,
        1.9978e-04, 1.9978e-04])",False
Round<|im_end|>,circle,"['Round', 'round', 'oval', 'Circular', 'circle', 'Circle', 'Square', 'O', 'C', 'Plate', 'ob', 'square', 'c', 'plate', 'Pl', 'ircular', 'Rectangle', 'Ir', 'rectangle', 'Rect']","tensor([0.4977, 0.3019, 0.0525, 0.0463, 0.0281, 0.0248, 0.0103, 0.0055, 0.0043,
        0.0034, 0.0023, 0.0019, 0.0015, 0.0013, 0.0011, 0.0010, 0.0007, 0.0007,
        0.0006, 0.0005])",False
circle<|im_end|>,circle,"['circle', 'Circle', 'round', 'square', 'Round', 'fr', 'c', 'rectangle', 'Circular', 'disc', 'oval', 'C', 'circ', 'ircle', 'Square', 'disk', ' Circle', 'Disc', 'Disk', 'ellipse']","tensor([9.2048e-01, 3.1497e-02, 1.9104e-02, 7.0280e-03, 3.3198e-03, 2.9297e-03,
        2.5854e-03, 2.2816e-03, 1.5682e-03, 1.2213e-03, 1.0778e-03, 9.5113e-04,
        7.4074e-04, 5.7689e-04, 5.7689e-04, 4.4928e-04, 3.9649e-04, 3.4990e-04,
        3.2870e-04, 1.2872e-04])",False
Square<|im_end|>,square,"['Square', 'rectangle', 'square', 'Rectangle', 'Rect', 'rect', 'oval', 'L', 'V', 'C', 'U', 'Round', 'round', 'Squared', 'O', 'T', 'Cube', 'l', 'S', 'oct']","tensor([0.4902, 0.1592, 0.1405, 0.0852, 0.0313, 0.0313, 0.0215, 0.0079, 0.0027,
        0.0024, 0.0020, 0.0017, 0.0012, 0.0011, 0.0011, 0.0010, 0.0009, 0.0007,
        0.0007, 0.0005])",False
Square<|im_end|>,square,"['Square', 'Rect', 'square', 'Rectangle', 'Round', 'rectangle', 'S', 'rect', ' Square', 'Squared', 'oval', 'round', '_square', 's', ' square', 'Circular', 'squ', 'Qu', 'C', 'O']","tensor([9.6990e-01, 1.0775e-02, 7.4053e-03, 5.0896e-03, 1.6523e-03, 1.2868e-03,
        1.2868e-03, 1.0022e-03, 4.1778e-04, 1.7415e-04, 1.2741e-04, 7.7281e-05,
        6.8200e-05, 4.9896e-05, 4.9896e-05, 4.4033e-05, 2.8430e-05, 2.8430e-05,
        2.6708e-05, 2.5089e-05])",False
round<|im_end|>,heart,"['round', 'heart', 'Round', 'Heart', 'circle', 'Square', 'square', 'Circle', 'rectangle', 'star', 'c', 'T', 'C', 'Circular', 'oval', 'Rectangle', 'cube', 'hex', 'Cake', 'flower']","tensor([0.3981, 0.1293, 0.1141, 0.1007, 0.0611, 0.0394, 0.0211, 0.0136, 0.0120,
        0.0094, 0.0094, 0.0078, 0.0073, 0.0050, 0.0050, 0.0039, 0.0034, 0.0030,
        0.0024, 0.0022])",False
Star.<|im_end|>,star,"['Star', 'Hex', 'star', 'Diamond', 'Triangle', 'Six', 'St', 'Snow', 'Stars', 'Oct', 'P', 'Polygon', 'Sun', 'hex', 'Fl', 'Cross', 'D', 'X', 'Square', 'Poly']","tensor([8.9619e-01, 2.7063e-02, 1.8600e-02, 1.1281e-02, 8.7860e-03, 2.6796e-03,
        2.2214e-03, 2.0869e-03, 1.7301e-03, 1.7301e-03, 1.5268e-03, 1.3474e-03,
        1.2657e-03, 9.8576e-04, 9.8576e-04, 8.6993e-04, 8.1722e-04, 7.6771e-04,
        7.6771e-04, 5.9789e-04])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'Circle', 'Square', 'round', 'circle', 'C', 'oval', 'O', 'Plate', 'R', 'S', 'ROUND', '圆形', ' Round', 'White', '(round', 'square', 'Disk', '_round']","tensor([8.0363e-01, 1.2324e-01, 3.5309e-02, 1.2990e-02, 1.2990e-02, 3.2843e-03,
        2.2572e-03, 1.5514e-03, 6.4671e-04, 3.9225e-04, 2.8698e-04, 2.5326e-04,
        1.5361e-04, 1.1963e-04, 1.1238e-04, 9.9176e-05, 9.3167e-05, 8.7523e-05,
        8.2220e-05, 8.2220e-05])",False
Square<|im_end|>,square,"['Square', 'square', 'rectangle', 'Rect', 'Rectangle', 'rect', 'S', 's', 'Triangle', ' Square', 'Squared', 'Tri', 'squ', '_square', 'Ir', 'triangle', 'Qu', ' square', '(rect', 'Cube']","tensor([9.2450e-01, 2.4637e-02, 1.3187e-02, 1.3187e-02, 1.1638e-02, 6.2292e-03,
        2.9425e-03, 8.9740e-04, 5.7941e-04, 3.7409e-04, 2.9134e-04, 1.3762e-04,
        1.2145e-04, 8.8855e-05, 7.3663e-05, 6.1069e-05, 4.4679e-05, 4.4679e-05,
        4.1972e-05, 3.2688e-05])",False
Square<|im_end|>,square,"['Square', 'Rect', 'Rectangle', 'square', 'rectangle', 'rect', 'T', 'Tier', 'Tri', 'Triangle', 'Squared', 'Hex', 'Cube', 'tri', 'triangle', 'S', ' Square', 'cube', 'Heart', 'tier']","tensor([7.6074e-01, 9.0857e-02, 4.8632e-02, 2.9497e-02, 2.2972e-02, 1.5789e-02,
        6.5817e-03, 4.5235e-03, 4.5235e-03, 4.5235e-03, 1.5633e-03, 7.3844e-04,
        6.9370e-04, 5.4026e-04, 5.4026e-04, 5.0753e-04, 4.7678e-04, 4.7678e-04,
        3.9526e-04, 3.7131e-04])",False
square<|im_end|>,square,"['square', 'rectangle', 'rect', 'Square', 'Rectangle', 'Rect', 'frame', 'oval', 's', 'qu', 'squ', 'quad', 'quare', 't', 'Squared', 'c', ' square', 'S', 'fr', 'frames']","tensor([3.6033e-01, 3.6033e-01, 2.4765e-01, 1.2330e-02, 7.4785e-03, 4.0029e-03,
        7.4047e-04, 6.5346e-04, 5.4174e-04, 4.2191e-04, 3.4977e-04, 3.4977e-04,
        2.7240e-04, 1.9929e-04, 1.6522e-04, 1.2088e-04, 1.0021e-04, 8.3078e-05,
        8.3078e-05, 8.3078e-05])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'Circle', 'round', 'C', 'Square', 'circle', 'O', '圆形', 'Plate', 'oval', 'ROUND', 'R', '圓', '(round', ' Round', '圆', '_round', 'ircular', '.round']","tensor([8.2568e-01, 1.2662e-01, 2.8253e-02, 8.0947e-03, 4.9097e-03, 2.3192e-03,
        1.2414e-03, 4.0301e-04, 3.1387e-04, 2.7699e-04, 2.7699e-04, 1.9037e-04,
        8.9924e-05, 8.9924e-05, 8.9924e-05, 7.9358e-05, 7.9358e-05, 7.0033e-05,
        4.8133e-05, 4.8133e-05])",False
oval<|im_end|>,square,"['oval', 'O', 'Round', 'Square', 'Rectangle', 'Rect', 'round', 'rectangle', 'ob', 'Circular', 'Circle', 'rect', 'square', 'ov', ' Oval', 'circle', 'ell', 'Ob', 'Ir', 'E']","tensor([0.4540, 0.2754, 0.1301, 0.0614, 0.0199, 0.0155, 0.0083, 0.0045, 0.0039,
        0.0039, 0.0027, 0.0021, 0.0016, 0.0013, 0.0013, 0.0011, 0.0010, 0.0009,
        0.0009, 0.0007])",False
circle<|im_end|>,circle,"['circle', 'Circle', 'round', 'Round', ' Circle', 'ircle', 'R', 'C', 'circ', 'Circular', 'Sun', ' circle', '_circle', '圆', 'cir', 'Disk', 'c', '.circle', 'sun', '-circle']","tensor([5.5198e-01, 4.2988e-01, 7.8736e-03, 1.7568e-03, 1.3682e-03, 9.4036e-04,
        6.0714e-04, 6.0714e-04, 5.7036e-04, 5.3580e-04, 4.4420e-04, 4.1728e-04,
        3.0529e-04, 2.6942e-04, 2.6942e-04, 2.3776e-04, 2.2336e-04, 2.0982e-04,
        1.9711e-04, 1.1231e-04])",False
circle<|im_end|>,circle,"['circle', 'Circle', 'Snake', 'C', 'Circular', 'S', 'snake', 'Ring', 'ring', 'Round', 'D', 'O', 'Sw', 'oval', 'T', 'c', 'Dragon', 'Loop', 'circ', 'ser']","tensor([0.3124, 0.2757, 0.1014, 0.0615, 0.0373, 0.0291, 0.0256, 0.0200, 0.0137,
        0.0137, 0.0114, 0.0114, 0.0073, 0.0054, 0.0054, 0.0050, 0.0050, 0.0039,
        0.0027, 0.0025])",False
square<|im_end|>,square,"['square', 'rectangle', 'rect', 'Square', 'Rectangle', 'round', 'oval', 's', 'ob', 'squ', 'tr', 'Rect', 'circle', 'c', 'unknown', 'rounded', 'oct', 'triangle', ' Square', 'long']","tensor([6.4495e-01, 3.0465e-01, 1.7187e-02, 8.1188e-03, 7.1648e-03, 4.9243e-03,
        3.8350e-03, 3.3844e-03, 9.6965e-04, 4.5803e-04, 4.0421e-04, 3.5671e-04,
        3.1480e-04, 2.4517e-04, 1.7937e-04, 1.5829e-04, 1.4870e-04, 1.3123e-04,
        1.2328e-04, 1.2328e-04])",False
Circle<|im_end|>,circle,"['Circle', 'Round', 'circle', 'Circular', 'round', 'oval', 'C', 'oct', ' Circle', 'O', 'c', 'ircle', '圓', 'Oct', 'ircular', '圆形', 'circ', ' Round', '圆', ' круг']","tensor([3.9067e-01, 2.0911e-01, 1.6285e-01, 1.2683e-01, 8.7170e-02, 8.1081e-03,
        1.8092e-03, 1.5966e-03, 1.2434e-03, 1.2434e-03, 8.5458e-04, 7.5417e-04,
        6.6555e-04, 6.6555e-04, 5.8735e-04, 5.8735e-04, 4.5743e-04, 4.5743e-04,
        4.5743e-04, 2.4484e-04])",False
rectangular<|im_end|>,square,"['rect', 'square', 'rectangle', 'Square', 'building', 'Rect', 'Building', 'triangle', 'box', 'round', 'park', 'Box', 'flat', 'c', 's', 'Rectangle', 'cube', 'polygon', 'Parking', 'brick']","tensor([0.3271, 0.3271, 0.0827, 0.0391, 0.0324, 0.0196, 0.0127, 0.0119, 0.0093,
        0.0072, 0.0068, 0.0064, 0.0060, 0.0053, 0.0050, 0.0050, 0.0047, 0.0044,
        0.0041, 0.0034])",False
Round<|im_end|>,circle,"['Round', 'round', 'Circular', 'Circle', 'circle', 'C', '圓', '圆形', ' Circle', 'Pizza', 'c', ' Round', 'oval', ' round', '圆', 'Square', '(round', 'ROUND', ' круг', '_round']","tensor([7.9763e-01, 7.4191e-02, 5.7780e-02, 4.4999e-02, 1.6554e-02, 5.3744e-03,
        7.2734e-04, 3.8932e-04, 2.0839e-04, 2.0839e-04, 2.0839e-04, 2.0839e-04,
        1.6229e-04, 1.6229e-04, 1.6229e-04, 9.8435e-05, 7.6661e-05, 7.6661e-05,
        6.3555e-05, 5.9704e-05])",False
Round<|im_end|>,circle,"['Round', 'round', 'Square', 'oval', 'Circle', 'Circular', 'circle', 'C', 'O', 'square', 'Rectangle', 'c', 'ob', 'rectangle', 'R', 'Rect', 'ROUND', ' Round', '(round', 'S']","tensor([6.3293e-01, 1.2463e-01, 5.1954e-02, 5.1954e-02, 4.5850e-02, 3.5708e-02,
        2.4542e-02, 9.0283e-03, 9.0283e-03, 3.3213e-03, 1.2219e-03, 1.2219e-03,
        7.4109e-04, 4.2226e-04, 3.7264e-04, 3.5007e-04, 3.5007e-04, 2.9021e-04,
        2.2602e-04, 2.2602e-04])",False
Triangle<|im_end|>,triangle,"['Triangle', 'triangle', 'Diamond', 'tri', 'Tri', 'Delta', 'diamond', 'D', 'T', 'tr', '_triangle', 'delta', ' triangle', 'Tr', 'Square', 'Triangles', 'rectangle', 'Rectangle', '三角', 'V']","tensor([5.2832e-01, 4.1145e-01, 2.6303e-02, 1.4079e-02, 6.6505e-03, 4.5708e-03,
        3.5598e-03, 7.0096e-04, 2.4225e-04, 2.1378e-04, 2.1378e-04, 2.1378e-04,
        1.8866e-04, 1.6649e-04, 1.5641e-04, 1.3803e-04, 1.2966e-04, 1.2966e-04,
        1.2181e-04, 1.1443e-04])",False
square<|im_end|>,square,"['rectangle', 'square', 'Square', 'Rectangle', 'rect', 'oval', 'round', 'O', 'Rect', 'triangle', 'oct', 'Round', 'C', 'hex', 'c', 's', 'ob', 'ellipse', 'S', 'tr']","tensor([0.3864, 0.3864, 0.1255, 0.0407, 0.0170, 0.0103, 0.0062, 0.0038, 0.0023,
        0.0020, 0.0020, 0.0014, 0.0012, 0.0011, 0.0010, 0.0009, 0.0008, 0.0007,
        0.0007, 0.0006])",False
Square<|im_end|>,square,"['Square', 'Round', 'Circular', 'Rect', 'Rectangle', 'C', 'Circle', 'square', 'round', 'rect', 'Hex', 'Box', 'S', 'oval', 'Squared', 'rectangle', 'O', 'Cube', ' Square', 'R']","tensor([7.1632e-01, 1.2448e-01, 7.5500e-02, 5.1890e-02, 9.0172e-03, 7.9576e-03,
        6.1974e-03, 1.7756e-03, 1.3828e-03, 6.5320e-04, 6.5320e-04, 5.0871e-04,
        3.7218e-04, 3.4963e-04, 2.7230e-04, 2.5580e-04, 2.1206e-04, 1.9922e-04,
        1.8715e-04, 1.2083e-04])",False
Star<|im_end|>,star,"['Star', 'star', 'Stars', 'Circle', ' Star', 'Square', 'STAR', 'Five', 'Round', 'circle', '_star', 'Triangle', '-Star', 'St', 'Hex', 'stars', ' star', 'Rectangle', 'Six', 'P']","tensor([9.5666e-01, 4.2033e-02, 4.6694e-04, 1.7178e-04, 1.0419e-04, 9.7876e-05,
        7.1608e-05, 5.5768e-05, 4.0801e-05, 3.6007e-05, 2.6343e-05, 1.3246e-05,
        1.2444e-05, 1.2444e-05, 1.0316e-05, 8.0342e-06, 8.0342e-06, 7.5474e-06,
        6.6606e-06, 4.8730e-06])",False
Diamond<|im_end|>,square,"['Diamond', 'diamond', 'Rh', 'Square', 'Triangle', ' Diamond', 'Hex', 'D', 'hex', 'square', 'rh', 'Oct', 'Yellow', 'Rectangle', 'triangle', 'Di', 'oct', 'R', 'P', 'iamond']","tensor([9.7377e-01, 2.0210e-02, 1.2920e-03, 1.1402e-03, 8.8796e-04, 6.9154e-04,
        3.7016e-04, 3.2666e-04, 1.2017e-04, 1.2017e-04, 1.1289e-04, 1.1289e-04,
        1.1289e-04, 6.8472e-05, 6.0426e-05, 5.3326e-05, 4.7060e-05, 4.1530e-05,
        3.4430e-05, 2.3663e-05])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'square', 'Triangle', 'S', 'Rect', 'Squared', 'Tri', 'Diamond', ' Square', 'Qu', 'rectangle', 'Cube', '_square', 'Tr', 'Hex', 'T', 'rect', 'C', 'Oct']","tensor([9.9331e-01, 1.4934e-03, 1.3179e-03, 1.1630e-03, 9.0578e-04, 7.9935e-04,
        2.0211e-04, 2.0211e-04, 9.5468e-05, 7.4351e-05, 5.1101e-05, 4.5096e-05,
        3.5121e-05, 2.4138e-05, 2.1302e-05, 2.1302e-05, 1.7660e-05, 1.5585e-05,
        1.4641e-05, 1.2137e-05])",False
Round<|im_end|>,circle,"['Round', 'round', 'C', 'c', 'Circular', 'Circle', 'circle', 'oval', 'O', 'Square', '圓', 'R', 'B', ' rund', '圆', ' Round', 'ROUND', 'ob', 'rounded', '(round']","tensor([4.4280e-01, 3.4486e-01, 9.8803e-02, 4.1187e-02, 3.6348e-02, 9.1901e-03,
        7.1573e-03, 4.3411e-03, 3.3809e-03, 1.0311e-03, 9.0994e-04, 7.5437e-04,
        6.2539e-04, 5.1847e-04, 5.1847e-04, 5.1847e-04, 4.5755e-04, 4.2983e-04,
        3.7932e-04, 3.5634e-04])",False
Heart<|im_end|>,heart,"['Heart', 'heart', 'He', 'he', ' Heart', 'Round', ' heart', 'HE', 'H', ' Hearts', 'C', 'Circular', 'round', '心', 'G', 'Square', 'Cookie', 'P', 'B', 'hear']","tensor([8.4001e-01, 1.4597e-01, 8.2352e-03, 3.8900e-03, 4.6460e-04, 2.6472e-04,
        1.8194e-04, 9.7385e-05, 7.5844e-05, 5.2127e-05, 5.2127e-05, 4.8968e-05,
        4.8968e-05, 4.6001e-05, 4.3214e-05, 2.3131e-05, 2.1730e-05, 1.6923e-05,
        1.6923e-05, 1.4935e-05])",False
Leaf.<|im_end|>,square,"['Leaf', 'Ir', 'Square', 'Rect', 'leaf', 'O', 'Cur', 'Round', 'Le', 'oval', 'R', '_leaf', 'Rectangle', 'Squared', 'Organ', 'W', 'Circular', 'S', 'L', 'Sc']","tensor([0.5822, 0.1668, 0.1299, 0.0256, 0.0121, 0.0107, 0.0083, 0.0065, 0.0044,
        0.0035, 0.0025, 0.0022, 0.0021, 0.0021, 0.0016, 0.0016, 0.0015, 0.0015,
        0.0014, 0.0012])",False
heart<|im_end|>,heart,"['heart', 'he', 'Heart', 'rectangle', 'He', 'love', 'triangle', 'rect', 'arrow', ' Heart', 'oval', 'hex', 'square', 'oct', 'ar', 'p', 'diamond', 'leaf', 'pent', ' heart']","tensor([8.8037e-01, 7.2266e-02, 2.0704e-02, 4.0769e-03, 2.8020e-03, 1.9258e-03,
        1.5966e-03, 9.6836e-04, 8.5457e-04, 7.5416e-04, 6.2522e-04, 5.5175e-04,
        4.5742e-04, 4.2971e-04, 4.2971e-04, 4.0367e-04, 3.5624e-04, 2.9533e-04,
        2.4484e-04, 2.4484e-04])",False
Square<|im_end|>,square,"['Square', 'Rect', 'Rectangle', 'square', 'rect', 'rectangle', 'S', 'Squared', 'Tr', 'White', ' Square', 'Diamond', 'Tri', 'Round', 'Triangle', 'T', 'C', '_square', 'Cube', 'O']","tensor([8.8773e-01, 5.6751e-02, 5.0082e-02, 1.5124e-03, 1.1778e-03, 6.3044e-04,
        5.5636e-04, 3.3745e-04, 1.5940e-04, 1.0955e-04, 8.5321e-05, 5.5087e-05,
        5.5087e-05, 5.1750e-05, 4.2902e-05, 3.7861e-05, 3.5567e-05, 3.1388e-05,
        2.6021e-05, 2.4445e-05])",False
Star<|im_end|>,star,"['Star', 'Stars', 'star', 'stars', 'St', 'STAR', ' Star', 'Triangle', ' Stars', 'C', '_star', '-Star', 'Snow', 'Square', 'Start', 'P', 'stell', ' star', 'S', 'D']","tensor([9.5717e-01, 2.5508e-02, 1.5471e-02, 5.2940e-04, 3.6385e-04, 2.5007e-04,
        1.3385e-04, 6.3227e-05, 4.6258e-05, 2.6357e-05, 2.0527e-05, 2.0527e-05,
        1.8115e-05, 1.3253e-05, 9.6962e-06, 9.6962e-06, 9.1088e-06, 8.5569e-06,
        8.5569e-06, 8.0385e-06])",False
rectangle<|im_end|>,square,"['rectangle', 'Rectangle', 'rect', 'Square', 'square', 'Rect', 'T', 'pane', 'Vertical', 't', 'S', 's', '(rect', 'Horizontal', '_rect', 'RECT', '_rectangle', 'L', 'vertical', 'oval']","tensor([4.1773e-01, 1.7414e-01, 1.3562e-01, 1.1968e-01, 8.2256e-02, 6.4061e-02,
        1.6037e-03, 3.1579e-04, 2.6180e-04, 2.6180e-04, 2.0389e-04, 1.7993e-04,
        1.6903e-04, 1.4013e-04, 1.3164e-04, 1.2367e-04, 1.1617e-04, 1.1617e-04,
        1.0914e-04, 1.0252e-04])",False
triangle<|im_end|>,triangle,"['triangle', 'Triangle', 'tri', 'Diamond', 'rectangle', 'Tri', 'arrow', '_triangle', 'hex', ' triangle', 'tr', 'diamond', 'circle', 'rh', 'square', 'equ', 'Delta', 'Rectangle', ' Triangle', 'oct']","tensor([8.4895e-01, 1.4752e-01, 1.1264e-03, 3.2271e-04, 2.2179e-04, 1.9573e-04,
        1.1872e-04, 1.1872e-04, 1.1872e-04, 1.1153e-04, 1.1153e-04, 9.8421e-05,
        7.6650e-05, 7.2006e-05, 6.7644e-05, 4.9489e-05, 4.6491e-05, 3.8542e-05,
        3.6207e-05, 2.0630e-05])",False
star<|im_end|>,star,"['star', 'Star', 'triangle', 'Triangle', 'X', 'heart', 'pent', 'cross', 'diamond', 'hex', 'sun', 'st', 'STAR', 'Heart', 'V', 'stars', 'd', 'tri', 'Cross', 'Stars']","tensor([8.2534e-01, 1.2657e-01, 1.3340e-02, 6.3015e-03, 3.8221e-03, 2.9766e-03,
        1.8054e-03, 1.3209e-03, 1.1657e-03, 8.5282e-04, 7.5261e-04, 7.5261e-04,
        6.6418e-04, 5.8613e-04, 5.8613e-04, 4.5648e-04, 4.2882e-04, 3.5551e-04,
        2.9473e-04, 2.7687e-04])",False
Heart<|im_end|>,heart,"['Heart', 'Square', 'heart', 'Round', 'round', 'Triangle', 'Pizza', 'Circle', 'Star', 'He', 'square', 'Circular', 'Rectangle', 'circle', 'star', 'Hex', 'triangle', 'oval', 'rectangle', 'Rect']","tensor([0.5871, 0.1156, 0.1156, 0.0795, 0.0189, 0.0167, 0.0074, 0.0065, 0.0040,
        0.0037, 0.0031, 0.0031, 0.0031, 0.0027, 0.0026, 0.0024, 0.0024, 0.0020,
        0.0011, 0.0011])",False
square<|im_end|>,square,"['square', 'Square', 'rectangle', 'Rectangle', 'rect', 'Rect', 's', ' Square', 'S', 'squ', 'Squared', '_square', 'qu', ' square', 'quare', 'hex', 'oct', 'quad', 'Cube', 'c']","tensor([4.7364e-01, 2.8728e-01, 1.5377e-01, 5.6569e-02, 1.8365e-02, 5.2617e-03,
        1.1740e-03, 7.1210e-04, 6.6895e-04, 4.8942e-04, 1.5889e-04, 1.3172e-04,
        1.0920e-04, 8.5048e-05, 7.0507e-05, 7.0507e-05, 5.8452e-05, 5.4911e-05,
        5.4911e-05, 5.1584e-05])",False
rectangle<|im_end|>,circle,"['rectangle', 'Square', 'Rectangle', 'square', 'Circle', 'circle', 'C', 'Round', 'oval', 'Rect', 'O', 'round', 'c', 'rect', 'S', 'hex', 's', 'Circular', 'Hex', 'Cube']","tensor([0.2053, 0.1812, 0.1812, 0.0588, 0.0588, 0.0404, 0.0404, 0.0245, 0.0216,
        0.0216, 0.0216, 0.0216, 0.0169, 0.0131, 0.0085, 0.0075, 0.0062, 0.0058,
        0.0038, 0.0035])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'Rect', 'rectangle', 'square', 'rect', 'S', 'Squared', ' Square', 'O', 'Triangle', 'T', 'Pl', 'Tr', '_rectangle', 'Ob', '(rect', 'RECT', 'oval', 'Long']","tensor([6.5004e-01, 2.3914e-01, 7.7636e-02, 1.9629e-02, 6.3727e-03, 5.6239e-03,
        3.1728e-04, 1.1672e-04, 9.6765e-05, 8.0221e-05, 7.0795e-05, 6.6505e-05,
        5.5135e-05, 4.8656e-05, 3.7894e-05, 3.1415e-05, 3.1415e-05, 2.9512e-05,
        2.7724e-05, 2.7724e-05])",False
